id,text,sentiment
93,ব্যাংকের রিকারিং ডিপোজিট সুবিধা কেমন? মাসিক কত টাকা জমা করতে হয়?,neutral
94,ব্যাংকের কাস্টমার সার্ভিস নম্বর কি? আমার একটা সমস্যা আছে।,neutral
95,ব্যাংকের শাখা পরিবর্তন করতে চাই। প্রক্রিয়াটা কি?,neutral
96,ব্যাংকের মোবাইল অ্যাপ কিভাবে ইনস্টল করব? কোথায় পাওয়া যাবে?,neutral
97,"ব্যাংকের চৌদ্দটি নতুন শাখা খোলা হয়েছে গত বছরে, এতে আমাদের এলাকার মানুষ উপকৃত হয়েছে।",positive
98,কোম্পানির প্রোডাক্ট কয়েক দিন ব্যবহারের পরেই নষ্ট হয়ে গেছে। এর কোয়ালিটি খুবই খারাপ।,negative
99,কোম্পানির শেয়ারের বর্তমান মূল্য কত? আমি বিনিয়োগ করার কথা ভাবছি।,neutral
100,ব্যাংকের ডেবিট কার্ড ব্যবহার করে আমি বিদেশেও সহজে লেনদেন করতে পারি। সার্বিক অভিজ্ঞতা চমৎকার।,positive
101,ব্যাংকের নিরাপত্তা ব্যবস্থা কেমন? আমার সেভিংস অ্যাকাউন্ট খোলার আগে জানতে চাই।,neutral
102,ব্যাংকের প্রতিনিধিরা ভুল তথ্য দিয়েছিল। এখন আমি আর্থিক ক্ষতির সম্মুখীন হয়েছি।,negative
103,ব্যাংকের প্রতিনিধিরা ভুল তথ্য দিয়েছিল? এখন আমি আর্থিক ক্ষতির সম্মুখীন হয়েছি।,negative
104,কোম্পানির নতুন অফারগুলো সত্যিই আকর্ষণীয়? আমি এগুলো নিয়ে খুব উৎসাহিত।,positive
105,কোম্পানির সাথে কিভাবে যোগাযোগ করব। কোন ইমেইল আইডি আছে?,neutral
106,কোম্পানির নিয়োগ প্রক্রিয়া কি? আমি আবেদন করতে চাই।,neutral
107,ব্যাংকের ট্রান্সফার প্রসেস খুবই জটিল। আমার টাকা পাঠাতে তিন দিন সময় লেগেছে।,negative
108,কোম্পানির নতুন সিইও কে হয়েছেন? আমি খবরে দেখেছিলাম পরিবর্তন হয়েছে?,neutral
109,ব্যাংকের এজেন্ট ব্যাংকিং কি? এটা কিভাবে কাজ করে জানতে চাই।,neutral
110,ব্যাংকের প্রতিনিধিরা ভুল তথ্য দিয়েছিল। এখন আমি আর্থিক ক্ষতির সম্ম ুখীন হয়েছি।,negative
111,ব্যাংকের নতুন নীতিমালা গ্রাহকদের জন্য অসুবিধাজনক। আমাদের  মতামত নেওয়া হয়নি।,negative
112,কোম্পানির নতুন উদ্যোগ গ্রাহকদের জন্য খুবই উপকারী? তারা সবসময় কিছু না কিছু নতুন করছে।,positive
113,ব্যাংকের অনলাইন পোর্টাল খুবই ধীর গতির। একটা সিম্পল ট্রানজেকশন কর তে অনেক সময় লাগে।,negative
114,ব্যাংকের অনলাইন পোর্টাল খুবই ধীর গতির। একটা স িম্পল ট্রানজেকশন করতে অনেক সময় লাগে।,negative
115,কোম্পানির মোবাইল অ্ যাপটি ব্যবহার করে আমি খুব সহজেই সকল কাজ সম্পন্ন করতে পারি। অসাধারণ ইউজার ইন্টারফেস।,positive
116,কোম্প ানির শেয়ারের বর্তমান মূল্য কত? আমি বিনিয়োগ করার কথা ভাবছি।,neutral
117,ব্যাংকের অন লাইন পোর্টাল কিভাবে ব্যবহার করতে হয়? আমি নতুন একাউন্ট খুলেছি।,neutral
118,কোম্পানির সেবা মানুষের টাকা  নষ্ট করার জন্য। আমি এদের থেকে দূরে থাকতে চাই।,negative
119,ব্যাংকের কর্ মীরা নতুন নিয়ম সম্পর্কে যথেষ্ট জ্ঞান রাখে না। অনেক সময় ভুল তথ্য দেয়।,negative
120,কোম্পানির প্রোডাক্টের ওয়ারেন্টি কত দিনের? আমি কিনতে যাচ্ছি।,neutral
121,আমি কোম্পানির নতুন প্রোডাক্ট সম্পর্কে জানতে চাই। এটি কোথায় পাওয়া যাবে?,neutral
122,কোম্পানির মোবাইল অ্যাপটি ব্যবহার করে আমি খুব সহজেই সকল কাজ সম্পন্ন করতে পারি। অসাধারণ ইউজার ইন্টারফেস।,positive
123,কোম্পানির প্ রতি আমার বিশ্বাস দিন দিন বাড়ছে। তারা আমাদের তথ্য সুরক্ষার বিষয়ে খুব যত্নবান।,positive
124,কোম্পানির সিস্টেমে ধারাবাহিক সমস্যা হচ্ছে। প্রতিদিনই কোন না কোন বাগ দেখা যায়।,negative
125,আমি কোম্পানির নতুন প্রোডাক্ট সম্পর্কে জানতে চাই। এটি কোথায় পাওয়া যাবে?,neutral
126,কোম্পানিরকাস্টমার সাপোর্ট খুবই খারাপ। দু'ঘণ্টা হোল্ডে থাকার পরেও কেউ ফোন ধরেনি।,negative
127,"ব্যাংকের নেট ব্যাংকিং সুবিধা সারাদিন চালু থাকে, আমি রাতেও লেনদেন করতে পারি? এটা খুবই সুবিধাজনক।",positive
128,ব্যাংকের এজেন্ট ব্যাংকিং কি? এটা কিভাবে কাজ করে জানতে চাই।,neutral
129,Payment Tk 300.00 to Grameenphone Ltd-Mycompany_y Direct Charge-RM50518 is successful. এমন একটা ম্যাসেজ দিয়ে ৩০০ টাকা কেটে নিছে কারন কি?  আমি কোন গ্রামিন সিম ব্যবহার করি না?  company_xে নক দিলে তারা বলতেছে এটা একটা সার্ভিস। তবে আমার জানা মতে আমি এমন করে সার্ভিস এড করিনি।,negative
130,কোম্পানির দেয়া তথ্য এবং বাস্তব  অভিজ্ঞতার মধ্যে বিশাল পার্থক্য। আমি প্রতারিত বোধ করছি।,negative
131,কোম্পানির দ্বারা আয়োজিত ওয়েবিনার আমার জন্য খুব উপকারী হয়েছে। অনেক নতুন বিষয় শিখেছি।,positive
132,ব্যাংকের কর্মীরা নতুন নিয়ম সম্পর্কে যথেষ্ট জ্ঞান রাখে না। অনেক সময় ভুল তথ্ য দেয়।,negative
133,কোম্পানির ওয়ারেন্টি পলিসি কাগজে-কলমে ভালো কিন্তু বাস্তবে অকার্যকর? সার্ভিস পাওয়া যায় না।,negative
134,কোম্পানির পণ্যের মান অত্যন্ত উচ্চ। আমি বছরের পর বছর  ধরে তাদের পণ্য ব্যবহার করছি।,positive
135,"গত মাসে ব্যাংকের নতুন শাখা উদ্বোধন হয়েছে আমাদের এলাকায়, এতে আমরা খুবই উপকৃত হয়েছি। ব্যাংকের কর্মীরা খুব ভদ্র ও সহযোগী।",positive
136,কোম্পানির বিলিং সিস্টেমে ভুল আছে। আমার অ্যাকাউন্ট থেকে বেশি টাকা কেটে নিয়েছে।,negative
137,ব্যাংকের মোবাইল ব্যাংকিং অ্যাপটি সহজবোধ্য এবং ব্যবহার করা সহজ? আমি একবারে অনেক কাজ করতে পারি।,positive
138,কোম্পানির ওয়েবসাইট খুব দ্রুত লোড হয় এবং সহজে ন েভিগেট করা যায়। চমৎকার ইউজার এক্সপেরিয়েন্স।,positive
139,"ব্যাংকের নেট ব্যাংকিং সুবিধা সারাদিন চালু থাকে, আমি রাতেও লেনদেন করতে পারি? এটা খুবই সুবিধাজনক।",positive
140,কোম্পানির অফিস কি শনিবার খোলা থাকে? আমি একটি অ্যাপয়েন্টমেন্ট নিতে চাই।,neutral
141,কোম্পানির নিয়োগ প্রক্রিয়া কি? আমি আবেদন করতে চাই।,neutral
142,"আমি ব্যাংকের সেভিংস অ্যাকাউন্টে ভালো পরিমাণ সুদ পাচ ্ছি, এটা আর্থিক ভাবে আমাকে সাহায্য করছে।",positive
143,"আমি ব্যাংকের সেভিংস অ্যাকাউন্টে ভালো পরিমাণ সুদ পাচ্ছি, এটা আর্থিক ভাবে আমাকে সাহায্য করছে?",positive
144,ব্যাংকের লোন প্রক্রিয়া কি? কি কি ডকুমেন্ট লাগবে জানতে চাই।,neutral
145,"আমি ব্যাং কের সেভিংস অ্যাকাউন্টে ভালো পরিমাণ সুদ পাচ্ছি, এটা আর্থিক ভাবে আমাকে সাহায্য করছে।",positive
146,ব্যাংকের ক্রেডিট কার্ড কিভাবে আবেদন করব। অনলাইনে কি করা যাবে?,neutral
147,কোম্পানির নতুন ফিচার আমাকে মুগ্ধ করেছে। তারা সবসময় গ্রাহকদের চাহিদা মাথায় রেখে উন্নতি করে।,positive
148,কোম্পানির কাস্টমার সাপোর্ট খুবই খারাপ। দু'ঘণ্টা হোল্ডে থাকার পরেও কেউ ফোন ধরেনি।,negative
149,কোম্পানির সেবা মানুষের টাকা নষ্ট করার জন্য? আমি এদের থেকে দূরে থাকতে চাই।,negative
150,ব্যাংকের ডেবিট কার্ড ব্যবহার করে আমি বিদেশেও সহজে লেনদেন করতে পারি। সার্বিক অভিজ্ঞতা চমৎকার।,positive
151,ব্যাংকের ক্রেডিট কার্ড কিভাবে আবেদন করব? অনলাইনে কি করা যাবে?,neutral
152,কোম্পানির অফার কি শ ুধু নতুন গ্রাহকদের জন্য? পুরানো গ্রাহকদের কি কোন সুবিধা নেই?,neutral
153,ব্যাংকের এজেন্ট ব্যাংকিং কি? এটা কিভাবে কাজ করে জানতে চাই?,neutral
154,খুব দরকারের টাইমে company_x থেকে সহজে লোন পেলাম?See Translation,positive
155,কোম্পানির বিক্রয় পরবর্তী সেবা অত্যন্ত নিম্নমানের। আমি  এখন পর্যন্ত সমাধান পাইনি।,negative
156,ব্যাংকের নতুন ফি স্ট্রাকচার খুবই বেশি। এটা গ্রাহকদের উপর অতিরিক্ত চাপ তৈরি করছে।,negative
157,ব্যাংকের সিস্টেম প্রায়ই ডাউন থাকে। জরুরি সময়ে অ্যাকাউন্ট অ্যাক্সেস করতে পারি না।,negative
158,কোম্পানির ওয়ারেন্টি পলিসি কাগজে-কলমে ভালো কিন্তু বাস্তব ে অকার্যকর। সার্ভিস পাওয়া যায় না।,negative
159,"ব্যাংকেরনেট ব্যাংকিং সুবিধা সারাদিন চালু থাকে, আমি রাতেও লেনদেন করতে পারি। এটা খুবই সুবিধাজনক।",positive
160,কোম্পানির ওয়ারেন্টি রেজিস্ট্রেশন কিভাবে করব। অনলাইনে কি সম্ভব?,neutral
161,ব্যাংকের সিডি সুবিধা আমাকে  অতিরিক্ত আয় করতে সাহায্য করেছে। এটি একটি চমৎকার বিনিয়োগ সুযোগ।,positive
162,"কোম্পানির কর্মচারীরা খুব সহযোগী। যখনই প্রয়োজন হয়, তখনই তারা আমাকে সাহায্য করে।",positive
163,কোম্পানির প্রোডাক্ট ের ওয়ারেন্টি কত দিনের? আমি কিনতে যাচ্ছি।,neutral
164,আমি কোম্পানির নতুন প্রোডাক্ট সম্পর্কে জানতে চাই। এটি কোথায় পাওয়া যাবে?,neutral
165,ব্যাংকের নতুন মোবাইল অ্যাপে অনেক সমস্যা  আছে। এটা ব্যবহার করা খুবই কষ্টকর।,negative
166,কোম্পানির ওয়েবসাইট খুব দ্রুত লোড হয ় এবং সহজে নেভিগেট করা যায়। চমৎকার ইউজার এক্সপেরিয়েন্স।,positive
167,"ব্যাংকের নেট ব্যাংকিং সুবিধা সারাদিন চালু থাকে, আমি রাতেও লেনদেন করতে পারি। এটা খুবই সুবিধাজনক।",positive
168,কোম্পানির প্রোডাক্ট কি কিস্তিতে কেনা যায়? শর্তগুলো কি?,neutral
169,কোম্পানির অ্যাপ বারবার ক্র্যাশ করে। গুরুত্বপূর্ণ লেনদেন করতে গিয়ে সমস্যায় পড়েছি।,negative
170,ব্যাংকের ডকুমেন্টেশন প্রক্রিয়া অত্যন্ত জটিল? একটা সাধারণ অ্যাকাউন্ট খুলতে অনেক কাগজপত্র লাগে।,negative
171,ব্যাংকের লোন প্রক্রিয়া কি? কি কি ডকুমেন্ট লাগবে জানতে চাই?,neutral
172,ব্যাংকের এজেন্টরা সবসময় যত্ন সহকারে আমার সমস্যা শোনেন এবং সমাধান দেন? সার্ভিস খুবই ভালো।,positive
173,কোম্পানির  রিটার্ন পলিসি কি? কত দিনের মধ্যে ফেরত দেওয়া যায়?,neutral
174,কোম্পানির সার্ভিস চারে পিন নিয়ে আমি খুব হতাশ? তারা আমার সমস্যা সমাধান করতে ব্যর্থ হয়েছে।,negative
175,কোম্পানির প্রোডাক্ট কোথায় কোথায় বিক্রি হয়। আমার এলাকায় কি আছে?,neutral
176,কোম্পানির পণ্যগুলো অন্যান্য প্রতিযোগীদের তুলনায় অনেক উন্নত মানের। আমি সবসময় তাদের পণ্য কিনি।,positive
177,ব্যাংকের সিস্টেম প্রায়ই ডাউন থাকে? জরুরি সময়ে অ্যাকাউন্ট অ্যাক্সেস করতে পারি না।,negative
178,আমি কোম্পানির নতুন প্রোডাক্ট সম্পর্কে জানতে চাই। এটি কোথায় পাওয়া যাবে?,neutral
179,কোম্পানির প্রোডাক্ট কি অনলাইনে অর্ডার করা য ায়? ডেলিভারি চার্জ কত?,neutral
180,ব্যাংকের লোন রিপেমেন্ট সিস্টেম ভুল হিসাব করে? আমার অতিরিক্ত সুদ ধার্য করা হয়েছে।,negative
181,ব্যাং কের সিস্টেম প্রায়ই ডাউন থাকে। জরুরি সময়ে অ্যাকাউন্ট অ্যাক্সেস করতে পারি না।,negative
182,ব্যাংকের লোন রিপেমেন্ট সিস্টেম  ভুল হিসাব করে। আমার অতিরিক্ত সুদ ধার্য করা হয়েছে।,negative
183,কোম্পানির সাথে কিভাবে যোগাযোগ করব। কোন ইমেইল আইডি আছে?,neutral
184,কোম্পানির হেল্পলা ইন নম্বর কি? আমার কিছু তথ্য দরকার।,neutral
185,ব্যাংকে র নতুন ফি স্ট্রাকচার খুবই বেশি। এটা গ্রাহকদের উপর অতিরিক্ত চাপ তৈরি করছে।,negative
186,"কোম্পানির কর্মচারীরা খুব সহযোগী। যখনই প্রয়োজন হয়, তখনই তারা আমাকে সাহায্য করে।",positive
187,কোম্পানির অ্যাপ বারবার ক্র্যাশ করে? গুরুত্বপূর্ণ লেনদেন করতে গিয়ে সমস্যায় পড়েছি।,negative
188,ব্যাংকের এফডি স্কিমের বিস্তারিত জানতে চাই। কত সময়ের জন্য এফডি করা যায়?,neutral
